"sensor_id","datetime","temp_c_ch1","temp_c_ch2"
20545519,2026-05-05 13:30:49,23.24923828125,23.59244140625
20545519,2026-05-05 13:35:49,23.292138671875,23.506640625
20545519,2026-05-05 13:40:49,23.206337890625,23.3350390625
20545519,2026-05-05 13:45:49,23.206337890625,23.3350390625
20545519,2026-05-05 13:50:49,23.120537109375,23.292138671875
20545519,2026-05-05 13:55:49,23.1634375,23.292138671875
20545519,2026-05-05 14:00:49,23.120537109375,23.292138671875
20545519,2026-05-05 14:05:49,23.120537109375,23.3350390625
20545519,2026-05-05 14:10:49,23.120537109375,23.3350390625
20545519,2026-05-05 14:15:49,23.120537109375,23.292138671875
20545519,2026-05-05 14:20:49,23.1634375,23.24923828125
20545519,2026-05-05 14:25:49,23.120537109375,23.206337890625
20545519,2026-05-05 14:30:49,23.07763671875,23.1634375
20545519,2026-05-05 14:35:49,23.034736328125,23.07763671875
20545519,2026-05-05 14:40:49,22.9918359375,23.034736328125
20545519,2026-05-05 14:45:49,22.9918359375,22.9918359375
20545519,2026-05-05 14:50:49,23.07763671875,23.206337890625
20545519,2026-05-05 14:55:49,22.519931640625,23.1634375
20545520,2026-05-05 13:39:10,23.206337890625,23.463740234375
20545520,2026-05-05 13:44:10,23.506640625,23.42083984375
20545520,2026-05-05 13:49:10,23.549541015625,23.42083984375
20545520,2026-05-05 13:54:10,23.506640625,23.377939453125
20545520,2026-05-05 13:59:10,23.506640625,23.377939453125
20545520,2026-05-05 14:04:10,23.463740234375,23.377939453125
20545520,2026-05-05 14:09:10,23.42083984375,23.3350390625
20545520,2026-05-05 14:14:10,23.42083984375,23.3350390625
20545520,2026-05-05 14:19:10,23.3350390625,23.24923828125
20545520,2026-05-05 14:24:10,23.206337890625,23.24923828125
20545520,2026-05-05 14:29:10,23.206337890625,23.206337890625
20545520,2026-05-05 14:34:10,23.206337890625,23.120537109375
20545520,2026-05-05 14:39:10,23.120537109375,23.120537109375
20545520,2026-05-05 14:44:10,23.034736328125,23.120537109375
20545520,2026-05-05 14:49:10,23.120537109375,23.1634375
20545520,2026-05-05 14:54:10,23.1634375,23.206337890625
20545520,2026-05-05 14:59:10,20.718115234375,19.173701171875
20793679,2026-05-05 13:52:32,23.635341796875,23.42083984375
20793679,2026-05-05 13:57:32,23.59244140625,23.42083984375
20793679,2026-05-05 14:02:32,23.59244140625,23.42083984375
20793679,2026-05-05 14:07:32,23.549541015625,23.3350390625
20793679,2026-05-05 14:12:32,23.463740234375,23.292138671875
20793679,2026-05-05 14:17:32,23.377939453125,23.206337890625
20793679,2026-05-05 14:22:32,23.377939453125,23.1634375
20793679,2026-05-05 14:27:32,23.3350390625,23.120537109375
20793679,2026-05-05 14:32:32,23.24923828125,23.120537109375
20793679,2026-05-05 14:37:32,23.24923828125,23.034736328125
20793679,2026-05-05 14:42:32,23.206337890625,23.034736328125
20793679,2026-05-05 14:47:32,23.1634375,23.034736328125
20793679,2026-05-05 14:52:32,22.348330078125,22.176728515625
20793679,2026-05-05 14:57:32,17.800888671875,17.58638671875
20793680,2026-05-05 14:16:58,23.120537109375,23.506640625
20793680,2026-05-05 14:21:58,23.07763671875,23.506640625
20793680,2026-05-05 14:26:58,23.034736328125,23.42083984375
20793680,2026-05-05 14:31:58,22.9918359375,23.42083984375
20793680,2026-05-05 14:36:58,22.777333984375,23.42083984375
20793680,2026-05-05 14:41:58,22.777333984375,23.292138671875
20793680,2026-05-05 14:46:58,23.034736328125,23.292138671875
20793680,2026-05-05 14:51:58,21.661923828125,23.377939453125
20793680,2026-05-05 14:56:58,17.800888671875,22.73443359375
20793680,2026-05-05 15:01:58,17.41478515625,22.47703125
20793680,2026-05-05 15:06:58,17.58638671875,21.833525390625
20793680,2026-05-05 15:11:58,17.715087890625,21.36162109375
20793680,2026-05-05 15:16:58,17.886689453125,21.061318359375
20793680,2026-05-05 15:21:58,18.10119140625,20.889716796875
20793680,2026-05-05 15:26:58,18.27279296875,20.889716796875
20793680,2026-05-05 15:31:58,18.401494140625,20.9326171875
20793680,2026-05-05 15:36:58,18.5301953125,21.01841796875
20793680,2026-05-05 15:41:58,18.401494140625,21.01841796875
20793680,2026-05-05 15:46:58,18.44439453125,20.975517578125
20793680,2026-05-05 15:51:58,18.401494140625,20.889716796875
20793680,2026-05-05 15:56:58,18.401494140625,20.761015625
20793684,2026-05-05 13:43:30,23.292138671875,23.292138671875
20793684,2026-05-05 13:48:30,23.3350390625,23.292138671875
20793684,2026-05-05 13:53:30,23.292138671875,23.42083984375
20793684,2026-05-05 13:58:30,23.42083984375,23.3350390625
20793684,2026-05-05 14:03:30,23.377939453125,23.377939453125
20793684,2026-05-05 14:08:30,23.377939453125,23.377939453125
20793684,2026-05-05 14:13:30,23.377939453125,23.3350390625
20793684,2026-05-05 14:18:30,23.3350390625,23.3350390625
20793684,2026-05-05 14:23:30,23.3350390625,23.3350390625
20793684,2026-05-05 14:28:30,23.3350390625,23.292138671875
20793684,2026-05-05 14:33:30,23.292138671875,23.3350390625
20793684,2026-05-05 14:38:30,23.3350390625,23.206337890625
20793684,2026-05-05 14:43:30,23.206337890625,23.206337890625
20793684,2026-05-05 14:48:30,23.206337890625,23.24923828125
20793684,2026-05-05 14:53:30,23.24923828125,23.24923828125
20793684,2026-05-05 14:58:30,23.24923828125,22.90603515625
20793690,2026-05-05 13:55:08,23.206337890625,23.463740234375
20793690,2026-05-05 14:00:08,22.948935546875,23.292138671875
20793690,2026-05-05 14:05:08,22.777333984375,23.206337890625
20793690,2026-05-05 14:10:08,22.90603515625,23.24923828125
20793690,2026-05-05 14:15:08,22.863134765625,23.120537109375
20793690,2026-05-05 14:20:08,22.777333984375,23.120537109375
20793690,2026-05-05 14:25:08,22.73443359375,23.07763671875
20793690,2026-05-05 14:30:08,23.3350390625,22.73443359375
20793690,2026-05-05 14:35:08,22.47703125,22.176728515625
20793690,2026-05-05 14:40:08,22.56283203125,22.519931640625
20793690,2026-05-05 14:45:08,23.120537109375,23.1634375
20793690,2026-05-05 14:50:08,24.407548828125,24.27884765625
20793690,2026-05-05 14:55:08,20.50361328125,21.318720703125
20793692,2026-05-05 14:15:56,23.206337890625,23.292138671875
20793692,2026-05-05 14:20:56,23.1634375,23.292138671875
20793692,2026-05-05 14:25:56,23.1634375,23.24923828125
20793692,2026-05-05 14:30:56,23.034736328125,23.206337890625
20793692,2026-05-05 14:35:56,23.07763671875,23.1634375
20793692,2026-05-05 14:40:56,23.120537109375,23.1634375
20793692,2026-05-05 14:45:56,23.120537109375,23.1634375
20793692,2026-05-05 14:50:56,23.1634375,23.206337890625
20793692,2026-05-05 14:55:56,22.9918359375,22.6486328125
20793692,2026-05-05 15:00:56,22.090927734375,22.262529296875
20793692,2026-05-05 15:05:56,21.404521484375,21.6190234375
20793692,2026-05-05 15:10:56,20.84681640625,21.147119140625
20793692,2026-05-05 15:15:56,20.460712890625,20.761015625
20793692,2026-05-05 15:20:56,20.16041015625,20.546513671875
20793692,2026-05-05 15:25:56,20.074609375,20.460712890625
20793692,2026-05-05 15:30:56,19.98880859375,20.50361328125
20793692,2026-05-05 15:35:56,19.860107421875,20.50361328125
20793692,2026-05-05 15:40:56,19.774306640625,20.460712890625
20793692,2026-05-05 15:45:56,19.688505859375,20.4178125
20793692,2026-05-05 15:50:56,19.602705078125,20.33201171875
20793692,2026-05-05 15:55:56,19.47400390625,20.203310546875
20793695,2026-05-05 14:12:40,23.034736328125,22.9918359375
20793695,2026-05-05 14:17:40,23.07763671875,23.07763671875
20793695,2026-05-05 14:22:40,23.07763671875,23.07763671875
20793695,2026-05-05 14:27:40,23.07763671875,23.07763671875
20793695,2026-05-05 14:32:40,22.73443359375,23.120537109375
20793695,2026-05-05 14:37:40,22.9918359375,23.034736328125
20793695,2026-05-05 14:42:40,22.9918359375,22.948935546875
20793695,2026-05-05 14:47:40,22.9918359375,22.9918359375
20793695,2026-05-05 14:52:40,23.120537109375,23.206337890625
20793695,2026-05-05 14:57:40,22.56283203125,22.21962890625
20793695,2026-05-05 15:02:40,21.36162109375,21.2758203125
20793695,2026-05-05 15:07:40,20.546513671875,20.632314453125
20793695,2026-05-05 15:12:40,20.074609375,20.203310546875
20793695,2026-05-05 15:17:40,19.9030078125,19.98880859375
20793695,2026-05-05 15:22:40,19.688505859375,19.81720703125
20793695,2026-05-05 15:27:40,19.81720703125,19.73140625
20793695,2026-05-05 15:32:40,19.81720703125,19.73140625
20793695,2026-05-05 15:37:40,19.774306640625,19.602705078125
20793695,2026-05-05 15:42:40,19.688505859375,19.64560546875
20793695,2026-05-05 15:47:40,19.64560546875,19.47400390625
20793695,2026-05-05 15:52:40,19.516904296875,19.431103515625
20793695,2026-05-05 15:57:40,19.431103515625,19.345302734375
21658972,2026-05-05 13:31:27,23.59244140625,23.206337890625
21658972,2026-05-05 13:36:27,23.59244140625,23.206337890625
21658972,2026-05-05 13:41:27,23.59244140625,23.24923828125
21658972,2026-05-05 13:46:27,23.635341796875,23.24923828125
21658972,2026-05-05 13:51:27,23.635341796875,23.24923828125
21658972,2026-05-05 13:56:27,23.6782421875,23.24923828125
21658972,2026-05-05 14:01:27,23.6782421875,23.206337890625
21658972,2026-05-05 14:06:27,23.635341796875,23.206337890625
21658972,2026-05-05 14:11:27,23.635341796875,23.206337890625
21658972,2026-05-05 14:16:27,23.59244140625,23.206337890625
21658972,2026-05-05 14:21:27,23.549541015625,23.24923828125
21658972,2026-05-05 14:26:27,23.506640625,23.292138671875
21658972,2026-05-05 14:31:27,23.506640625,23.24923828125
21658972,2026-05-05 14:36:27,23.463740234375,23.206337890625
21658972,2026-05-05 14:41:27,23.42083984375,23.1634375
21658972,2026-05-05 14:46:27,23.377939453125,23.206337890625
21658972,2026-05-05 14:51:27,23.3350390625,23.206337890625
21658972,2026-05-05 14:56:27,23.377939453125,22.47703125
